Penulis,Komentar,Komentar_Bersih
@jakepark80,Kirain banaspati,kirain banaspati
@nicedream42443,Siap siap Pohon Senju Tumbuh....,siap siap pohon senju tumbuh
@daifaditya08,Apa bner itu meteor?,apa bner itu meteor
@boyBigg-m7i,Yg gw heran cmn satu ktnya jatuh ny di cirebon? Truss kok gk ada beriba pencarian ny yaa?,yg gw heran cmn satu ktnya jatuh ny di cirebon truss kok gk ada beriba pencarian ny yaa
@LangitHakawa,kaguya otsusuki turun itu,kaguya otsusuki turun itu
@Redmi9a-m1w8v,Inilah negara yg gak punya irondom,inilah negara yg gak punya irondom
@blessedluckyofficial9100,"Kenapa ga dicari jatuhnya. Pasti ada bekasnya dan sisanya klo benar jatuh di tanah. 
Klo ga ad hoax.",kenapa ga dicari jatuhnya pasti ada bekasnya dan sisanya klo benar jatuh di tanah klo ga ad hoax
@prodentengatap8408,"Bagi sains meteor, bagi koncoku iku teluh. Ono dukune sing ngirim.",bagi sains meteor bagi koncoku iku teluh ono dukune sing ngirim
@ayumaulana690,"Ya ini dulu ketika tragedi g 30s pki, jg ada tanda alam spt itu, itulah tanda alam yg mjd tanda akan tjd sesuatu yg besar spt dulu, orang Jawa itulah yg disebut lintang kemukus, JD persiapkan diri mental SPIRITUIL kita menghadapi perubahan jaman",ya ini dulu ketika tragedi g 30s pki jg ada tanda alam spt itu itulah tanda alam yg mjd tanda akan tjd sesuatu yg besar spt dulu orang jawa itulah yg disebut lintang kemukus jd persiapkan diri mental spirituil kita menghadapi perubahan jaman
@abdulaziz-yb3so,Kok seperti lebih lambat daripada meteor2 biasanya....!,kok seperti lebih lambat daripada meteor2 biasanya
@asepsaepudin4151,Kalo aku orang Cirebon pasti aku cari dimana jatuhnya dan akan aku simpen dirumah kerna meteor bisa memaparkan radiasi dan bisa memberi kekuatan sprti SUPERMAN 😂😂😂😂,kalo aku orang cirebon pasti aku cari dimana jatuhnya dan akan aku simpen dirumah kerna meteor bisa memaparkan radiasi dan bisa memberi kekuatan sprti superman
@Bagaschy,Mada Kono Sekai wa...,mada kono sekai wa
@Normal_Person-mi5fe,Yang bilang tentang meteor gak jatuh ke DPR. Ini ada hubungannya memang?,yang bilang tentang meteor gak jatuh ke dpr ini ada hubungannya memang
@KATANIKA,kaya rudal,kaya rudal
@abdulichwani9064,"Jatuhnya dimana ga tau, bagaimana kalo serangan bom ya. Berarti kita bener2 gak ada penjagaan di angkasa..?",jatuhnya dimana ga tau bagaimana kalo serangan bom ya berarti kita bener2 gak ada penjagaan di angkasa
@sambalado76,BJORKA ngirim santet🎉😂🎉😂🎉😂😂🎉😂😂🎉,bjorka ngirim santet
@WawanSetiawan-g2z,Jatuhnya dmn bro yg pasti.,jatuhnya dmn bro yg pasti
@deexazyprst12,alamak,alamak
@xd41-w1nter7,"Selama Lubang Buaya ( vagina )
Masih Terbuka atau Nyempit....kan selalu 
Menggoda Kaum Adam...
Tdk akan Berhenti 

Hingga Nafas Dikerongkongan berenti 😊",selama lubang buaya vagina masih terbuka atau nyempitkan selalu menggoda kaum adam tdk akan berhenti hingga nafas dikerongkongan berenti
@anisyaam,aku lihat bola api itu tanggal 6,aku lihat bola api itu tanggal 6
